Match ID,Stat,Who,Points
hxKRhfFL,Highest Average,Paolo Nebrida,50
hxKRhfFL,Legs Winner,Paolo Nebrida,180
hxKRhfFL,Legs Loser,Ross Smith,120
hxKRhfFL,Paolo Nebrida,4.0,
hxKRhfFL,Ross Smith,4.0,
hxKRhfFL,Most 180s,Paolo Nebrida,50
hxKRhfFL,Most 180s,Ross Smith,50
E5axpYen,Game Link,https://www.flashscore.com/match/E5axpYen/#/match-summary/match-statistics/0,E5axpYen
E5axpYen,Winner,Callan Rydz,100
E5axpYen,Loser,Martin Schindler,
E5axpYen,Max Checkout,Callan Rydz,50
E5axpYen,Most 180s,Martin Schindler,50
E5axpYen,Total 180s,7,
E5axpYen,9-Dart Finish,,250
E5axpYen,Highest Average,Callan Rydz,50
E5axpYen,Legs Winner,Callan Rydz,180
E5axpYen,Legs Loser,Martin Schindler,60
E5axpYen,Callan Rydz,3.0,
E5axpYen,Martin Schindler,4.0,
